Date,SWP,Cachuma,Local Surface,Groundwater,Recycled
2014-12-01,5083.76,435.2,83.4,820.29,7.8
2014-11-01,657.25,790.43,202.07,857.15,48.32
2014-10-01,876.15,1291.8,109.87,920.36,91.38
2014-09-01,735.83,1088.57,683.37,841.54,115.55
2014-08-01,701.79,1497.56,253.21,795.31,128.02
2014-07-01,824.95,1822.01,136.21,699.75,128.71
2014-06-01,775.01,1751.65,132.38,576.61,119.13
2014-05-01,796.25,1973.61,123.51,588.01,250.68
2014-04-01,406.18,1577.72,102.31,592.41,159.07
2014-03-01,587.84,994.2,106.39,503.23,92.58
2014-02-01,593.34,970.11,355.55,365.47,80.29
2014-01-01,264.3,2550.15,112.04,430.25,110.2
2013-12-01,196.79,2331.72,106.54,392.07,77.27
2013-11-01,168.96,2572.18,129.83,634.97,106.65
2013-10-01,947.13,2605.3,135.35,680.79,183.9
2013-09-01,1130.24,2998.38,187.81,750.38,220.8157823
2013-08-01,731.28,3482.89,222.49,806.1,242.911665
2013-07-01,184.41,3733.37,280.93,794.35,249.2927133
2013-06-01,103.45,3166.03,174.92,864.35,224.7396254
2013-05-01,217.72,2945.75,507.94,834.9,234.7742205
2013-04-01,106.33,2584.81,567.95,557.59,152.8430372
2013-03-01,51.44,2170.75,407.44,461.751,109.9942613
2013-02-01,11.64,2065.64,125.41,271.07,56.96778195
2013-01-01,8.7,1678.07,147.54,155.36,24.476327
2012-12-01,25.12,1041.52,411.13,152.56,4.103484529
2012-11-01,27.72,1979.39,644.3,396.17,86.53945159
2012-10-01,123.5,3043.33,340.46,675.83,186.8429936
2012-09-01,365.21,3193.3,263.79,562.48,213.57
2012-08-01,353.21,3171.17,581.11,581.53,279.92
2012-07-01,345.38,2990.62,828.99,462.48,260.15
2012-06-01,267.53,2548.52,791.52,255.37,248.18
2012-05-01,324.07,2189.9,775.47,317,210.4017229
2012-04-01,85.72,1351.66,689.21,223.54,66.16753608
2012-03-01,38.47,2249.43,216.72,224.89,120.18
2012-02-01,13.13,2111.52,205.46,251.332345,84.72
2012-01-01,10.59,2295.79,226.14,115.39,57.36
2011-12-01,10.81,1786.33,424.8,100.16,55.8
2011-11-01,37.47,1873.3,254.25,207.76,51.24
2011-10-01,31.5,2355.1,408.6,476.88,125.06
2011-09-01,363.45,2324.66,799.2,558.22,182.87
2011-08-01,358.58,2600.57,823.03,570.54,223.978066
2011-07-01,443.56,2601.01,827.5,596.88,243.8833448
2011-06-01,304.14,2330.12,463.93,317.69,177.2644669
2011-05-01,353.28,3221.62,330.66,74.52,236.7633329
2011-04-01,305.37,2491.55,309.7,48.34,120.2966258
2011-03-01,58.55,1620.94,352.93,191.4,44.25
2011-02-01,133.31,1322.92,415.18,210.09,40.07
